fpkmX	fpkmY	highlight	gene_short_name
ENSMUSG00000000001	9.13125	11.6736	FALSE	Gnai3
ENSMUSG00000000003	1	1	FALSE	Pbsn
ENSMUSG00000000028	1	2.02376	FALSE	Cdc45
ENSMUSG00000000031	1	1.00819217	FALSE	H19
ENSMUSG00000000037	1.0112551	1.0393205	FALSE	Scml2
ENSMUSG00000000049	1.274916	1.366076	FALSE	Apoh
ENSMUSG00000000056	6.53183	10.83112	FALSE	Narf
ENSMUSG00000000058	1	1.184143	FALSE	Cav2
ENSMUSG00000000078	11.6212	32.4293	FALSE	Klf6
ENSMUSG00000000085	36.8275	26.8389	FALSE	Scmh1
ENSMUSG00000000088	146.345	187.167	FALSE	Cox5a
ENSMUSG00000000093	1	1	FALSE	Tbx2
ENSMUSG00000000094	1	1	FALSE	Tbx4
ENSMUSG00000000103	1	1	FALSE	Zfy2
ENSMUSG00000000120	1	2.90009	FALSE	Ngfr
ENSMUSG00000000125	1.017726	2.45591	FALSE	Wnt3
ENSMUSG00000000126	2.70944	2.89326	FALSE	Wnt9a
ENSMUSG00000000127	12.4918	10.51456	FALSE	Fer
ENSMUSG00000000131	141.303	59.5465	FALSE	Xpo6
ENSMUSG00000000134	15.9533	7.92233	FALSE	Tfe3
ENSMUSG00000000142	10.90968	10.70897	FALSE	Axin2
ENSMUSG00000000148	3.50259	2.82805	FALSE	Baat1
ENSMUSG00000000149	4.36706	9.86237	FALSE	Gna12
ENSMUSG00000000154	1	1	FALSE	Slc22a18
ENSMUSG00000000157	1	1	FALSE	Itgb2l
ENSMUSG00000000159	1.122905	1	FALSE	Igsf5
ENSMUSG00000000167	2.02568	2.07571	FALSE	Pih1d2
ENSMUSG00000000168	38.9225	71.8547	FALSE	Dlat
ENSMUSG00000000171	28.793	103.884	FALSE	Sdhd
ENSMUSG00000000182	1.120333	1.206762	FALSE	Fgf23
ENSMUSG00000000183	1	1	FALSE	Fgf6
ENSMUSG00000000184	14.5046	43.267	FALSE	Ccnd2
ENSMUSG00000000194	33.6352	11.275	FALSE	Gpr107
ENSMUSG00000000197	12.5491	17.072	FALSE	Nalcn
ENSMUSG00000000202	1.227227	2.12039	FALSE	Btbd17
ENSMUSG00000000204	1	1	FALSE	Slfn4
ENSMUSG00000000214	1	1	FALSE	Th
ENSMUSG00000000215	1	1	FALSE	Ins2
ENSMUSG00000000216	1.0911485	1	FALSE	Scnn1g
ENSMUSG00000000223	12.5746	6.58805	FALSE	Drp2
ENSMUSG00000000244	1	1.0697883	FALSE	Tspan32
ENSMUSG00000000247	20.7575	8.31533	FALSE	Lhx2
ENSMUSG00000000248	1	1	FALSE	Clec2g
ENSMUSG00000000253	14.6597	12.9105	FALSE	Gmpr
ENSMUSG00000000263	1	1.0915501	FALSE	Glra1
ENSMUSG00000000266	10.44565	10.32342	FALSE	Mid2
ENSMUSG00000000275	1.182731	1.326941	FALSE	Trim25
ENSMUSG00000000276	19.4672	19.9309	FALSE	Dgke
ENSMUSG00000000278	1.815186	4.14451	FALSE	Scpep1
ENSMUSG00000000282	8.61314	6.46214	FALSE	Mnt
ENSMUSG00000000290	1	1.0151626	FALSE	Itgb2
ENSMUSG00000000295	5.05312	20.508	FALSE	Hddc2
ENSMUSG00000000296	22.2363	35.3971	FALSE	Tpd52l1
ENSMUSG00000000301	1	2.01337	FALSE	Pemt
ENSMUSG00000000303	1	1	FALSE	Cdh1
ENSMUSG00000000305	1.0153554	1.905788	FALSE	Cdh4
ENSMUSG00000000308	82.8745	211.021	FALSE	Ckmt1
ENSMUSG00000000317	1.226783	1.121121	FALSE	Bcl6b
ENSMUSG00000000318	1	1.192683	FALSE	Clec10a
ENSMUSG00000000320	1	1	FALSE	Alox12
ENSMUSG00000000325	9.6253	8.8553	FALSE	Arvcf
ENSMUSG00000000326	62.3976	55.1588	FALSE	Comt
ENSMUSG00000000339	9.65967	31.9904	FALSE	Rtcd1
ENSMUSG00000000340	5.22512	8.29869	FALSE	Dbt
ENSMUSG00000000346	100.5176	49.5582	FALSE	Dazap2
ENSMUSG00000000355	36.5424	42.599	FALSE	Mcts1
ENSMUSG00000000359	1	1	FALSE	Rem1
ENSMUSG00000000365	1	1.172501	FALSE	Rnf17
ENSMUSG00000000374	13.1027	14.4756	FALSE	Trappc10
ENSMUSG00000000378	15.7219	14.2409	FALSE	Ccm2
ENSMUSG00000000381	1	1	FALSE	Wap
ENSMUSG00000000384	11.7516	6.56123	FALSE	Tbrg4
ENSMUSG00000000385	1	1	FALSE	Tmprss2
ENSMUSG00000000386	1	1	FALSE	Mx1
ENSMUSG00000000392	1	1.333642	FALSE	Fap
ENSMUSG00000000394	1	1	FALSE	Gcg
ENSMUSG00000000399	58.586	134.208	FALSE	Ndufa9
ENSMUSG00000000402	1	1.0168427	FALSE	Egfl6
ENSMUSG00000000409	1.229942	1.421023	FALSE	Lck
ENSMUSG00000000411	1	1.373325	FALSE	Tssk3
ENSMUSG00000000416	252.18	121.533	FALSE	Cttnbp2
ENSMUSG00000000420	15.8064	16.7351	FALSE	Galnt1
ENSMUSG00000000435	1	1	FALSE	Myf5
